NomeJogador;EquipeCasa;EquipeVisitante;DataHora;Pontos;Rebotes;Assistencias;Roubos;Tocos;Turnovers;Faltas;PlusMinus;Cestas2Convertidas;Cestas2Tentadas;Cestas3Convertidas;Cestas3Tentadas;LancesConvertidos;LancesTentados
"Pedro Souza";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";18;5;7;2;0;3;2;-3;6;10;2;5;2;2
"Lucas Fernandes";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";14;8;3;1;1;2;3;-3;5;9;1;3;3;4
"Gustavo Pires";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";16;11;1;0;3;1;4;-3;7;12;0;1;2;3
"Thiago Rocha";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";10;3;5;3;0;2;2;-3;3;6;1;2;2;2
"André Barbosa";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";12;7;2;1;1;1;3;-3;5;8;0;0;2;3
"Felipe Nogueira";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";8;4;1;0;0;2;2;-3;3;5;0;1;2;2
"Pedro Alves";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";20;4;9;2;0;2;1;3;7;11;2;4;2;2
"Marcos Lima";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";15;9;2;1;2;1;3;3;6;10;1;2;1;2
"João Silva";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";13;3;6;2;0;1;2;3;5;9;1;3;2;2
"Rafael Torres";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";17;10;1;0;4;2;3;3;7;11;0;0;3;4
"Bruno Castro";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";11;6;2;1;1;1;2;3;4;7;1;2;1;1
"Diego Ramos";"Londrina Storm";"Curitiba Hawks";"2026-08-22 20:30";5;2;1;0;0;1;1;3;2;5;0;1;1;2
"Vinícius Costa";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";22;6;4;2;0;2;3;7;8;13;2;4;4;4
"Gabriel Santos";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";19;12;1;0;3;1;4;7;8;12;0;0;3;4
"Rodrigo Melo";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";14;3;8;3;0;2;2;7;5;9;1;3;3;3
"Leonardo Dias";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";9;2;5;1;0;1;1;7;3;6;1;2;1;1
"Matheus Ribeiro";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";13;8;2;1;2;1;3;7;5;9;1;2;1;2
"Caio Moreira";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";15;5;3;1;1;1;2;7;6;10;1;3;1;1
"Eduardo Cardoso";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";16;4;7;2;0;2;2;-7;5;9;2;4;2;2
"Fábio Teixeira";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";18;9;2;1;1;1;3;-7;7;11;1;3;2;2
"Henrique Souza";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";12;10;1;0;3;1;4;-7;6;10;0;0;0;0
"Igor Batista";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";11;2;6;2;0;1;1;-7;4;8;1;2;1;2
"Julio Farias";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";14;7;2;1;1;1;3;-7;6;9;0;1;2;2
"Kaique Vieira";"Maringá Tigers";"Cascavel Eagles";"2026-08-25 19:30";14;5;3;1;0;1;2;-7;5;9;1;3;2;2
"Samuel Lopes";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";16;4;6;2;0;2;2;-5;6;10;1;3;2;2
"Marcelo Aguiar";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";13;8;2;1;1;1;3;-5;5;9;1;2;1;1
"Nelson Prado";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";10;9;1;0;3;2;4;-5;5;8;0;0;0;1
"Otávio Correia";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";11;3;5;2;0;1;2;-5;4;7;1;2;1;2
"Paulo Henrique";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";12;6;2;1;1;1;2;-5;5;8;0;1;2;2
"Rafael Duarte";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";12;4;3;1;0;1;1;-5;5;8;0;1;2;2
"Tiago Andrade";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";20;7;3;2;1;1;3;5;7;11;2;4;2;2
"Vitor Hugo Reis";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";15;11;1;0;4;1;4;5;7;11;0;0;1;2
"William Santana";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";14;3;6;2;0;1;2;5;5;9;1;3;3;3
"Alan Cavalcante";"Ponta Grossa Bulls";"Foz Panteras";"2026-08-30 19:00";12;6;2;1;1;1;3;5;5;8;0;1;2;3
